,div,cate,cate_link,catCd01,sub_cate,catCd02,pdName,price,pdImg
93,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,제주한란 인리치드크림,"25,000",https://images.innisfree.co.kr/upload/product/10813_l.png
94,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,더 미니멈 모이스트 크림,"9,000",https://images.innisfree.co.kr/upload/product/11859_l.png
95,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,화이트닝포어 크림,"28,000",https://images.innisfree.co.kr/upload/product/10935_l.png
96,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,제주한란 인텐스크림,"28,000",https://images.innisfree.co.kr/upload/product/10816_l.png
97,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,에코 사이언스 크림,"28,000",https://images.innisfree.co.kr/upload/product/10797_l.png
98,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,유채꿀 크림,"22,000",https://images.innisfree.co.kr/upload/product/10463_l.png
99,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,더 그린티 씨드 크림 5ML,"1,500",https://images.innisfree.co.kr/upload/product/10254_l.png
100,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,그린티 밸런싱 크림 5ML,"1,500",https://images.innisfree.co.kr/upload/product/10245_l.png
101,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,그린티 모이스처 크림,"15,000",https://images.innisfree.co.kr/upload/product/9783_l.png
102,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,그린티 밸런싱 크림,"15,000",https://images.innisfree.co.kr/upload/product/9780_l.png
103,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,그린티 프레시크림,"15,000",https://images.innisfree.co.kr/upload/product/9777_l.png
104,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,퍼펙트9 리페어 크림,"48,000",https://images.innisfree.co.kr/upload/product/5501_l.png
105,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,크림,UADD,화이트 톤 업 크림,"20,000",https://images.innisfree.co.kr/upload/product/3142_l.png
106,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,아이크림,UAEE,올리브 리얼 아이크림,"12,000",https://images.innisfree.co.kr/upload/product/14032_l.png
107,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,아이크림,UAEE,제주 용암해수 아이세럼,"30,000",https://images.innisfree.co.kr/upload/product/12304_l.png
